OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TERRA,1999-068A,2026-06-25T04:08:58.534080,14.61108857,.0002213,97.9452,225.4025,166.0791,286.5226,0,U,25994,999,41077,.82728E-4,.362E-5,0
ASIASTAR,2000-016A,2026-06-25T02:49:55.199136,1.00273435,.00046,9.1480,58.0701,31.2013,331.4842,0,U,26107,999,9600,0,-.333E-5,0
IMAGE,2000-017A,2026-06-21T10:12:18.318528,1.68666410,.74289842,94.2324,315.4279,287.3239,9.1864,0,U,26113,999,16157,0,-.86E-6,0
USA 149 (DSP 20),2000-024A,2026-06-24T04:25:40.844928,1.00278668,.00017899,13.1758,11.8048,323.2798,198.3966,0,U,26356,999,3298,0,.91E-6,0
TDRS 8,2000-034A,2026-06-24T02:46:37.592832,1.00276386,.00048896,12.6940,31.2621,23.2171,344.1519,0,U,26388,999,9525,0,-.199E-5,0
ISS (ZVEZDA),2000-037A,2026-06-25T04:30:07.020000,15.49415960,.0004409,51.6326,260.4913,228.8642,131.1966,0,U,26400,999,55442,.17725E-3,.947E-4,0
NAVSTAR 48 (USA 151),2000-040A,2026-06-23T06:50:34.458720,2.00557780,.01209615,54.8508,214.9200,302.5244,64.1899,0,U,26407,999,19007,0,.52E-6,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-06-26T01:33:12.192480,0.44870397,.90618129,149.9012,52.3742,269.6784,359.6419,0,U,26410,999,2035,0,.5882E-4,0
CLUSTER II-FM8 (TANGO),2000-045B,2026-06-21T22:36:54.211968,0.44420336,.90628137,150.1352,52.7746,269.8657,2.6673,0,U,26464,999,2033,0,.4849E-4,0
NSS-11,2000-059A,2026-06-25T03:10:14.793024,1.00272230,.000309,2.1474,81.3054,5.0654,50.4554,0,U,26554,999,4137,0,.33E-6,0
USA 153,2000-065A,2026-06-23T22:58:38.741376,1.00268576,.0003087,11.6362,35.3664,47.7540,308.0828,0,U,26575,999,3299,0,-.328E-5,0
AMC-6,2000-067A,2026-06-25T03:24:13.451040,1.00271993,.000388,0.1728,83.4233,19.7642,86.0978,0,U,26580,999,9397,0,.98E-6,0
NAVSTAR 49 (USA 154),2000-071A,2026-06-23T15:04:17.591232,2.00565236,.01741208,55.6289,94.6999,266.8055,272.3395,0,U,26605,999,18764,0,-.48E-6,0
ISS (DESTINY),2001-006B,2026-06-25T04:30:07.020000,15.49415960,.0004409,51.6326,260.4913,228.8642,131.1966,0,U,26700,999,57215,.17725E-3,.947E-4,0
ODIN,2001-007A,2026-06-25T02:08:31.250976,15.78592061,.0006632,97.3797,217.5522,132.9735,227.2089,0,U,26702,999,39064,.14705E-2,.262742E-2,0
USA 157 (MILSTAR-2 2),2001-009A,2026-06-24T04:22:19.672032,1.00278822,.00393024,11.5505,19.7238,177.1222,351.1307,0,U,26715,999,3301,0,.107E-5,0
BSAT-2A,2001-011B,2026-06-25T03:29:32.488224,0.99175667,.0002739,10.7494,47.4174,187.5993,334.4350,0,U,26720,999,9205,0,.56E-6,0
OMNI-M1,2001-026A,2026-06-21T13:26:06.294048,3.92401787,.00140727,44.8291,244.2559,54.4534,305.7323,0,U,26857,999,20574,0,-.2E-6,0
INTELSAT 902 (IS-902),2001-039A,2026-06-25T03:48:16.180704,1.00272034,.000422,6.1364,71.6864,22.5602,186.0184,0,U,26900,999,9077,0,-.279E-5,0
PCSAT (NO-44),2001-043C,2026-06-25T04:35:47.964768,14.31958480,.0006049,67.0494,223.5692,265.0177,95.0235,0,U,26931,999,29159,.62978E-4,.86E-6,0
PROBA-1,2001-049B,2026-06-25T04:02:11.616864,15.07528056,.005632,97.9602,184.9791,95.7794,264.9858,0,U,26958,999,34482,.25128E-3,.3886E-4,0
TIMED,2001-055B,2026-06-25T04:05:34.604160,14.95307852,.0001531,74.0663,218.9441,324.7901,35.3183,0,U,26998,999,33201,.86118E-4,.91E-5,0
MAROC-TUBSAT,2001-056D,2026-06-25T02:50:25.014048,13.70262732,.0020524,99.8086,353.1274,121.5852,356.1209,0,U,27004,999,22727,.35253E-4,-.15E-6,0
COSMOS 2385,2001-058B,2026-06-25T03:50:07.741248,12.60565227,.0005582,82.5363,214.7492,204.5452,259.4404,0,U,27056,999,12678,-.43932E-3,-.66E-6,0
COSMOS 2386,2001-058C,2026-06-25T04:18:21.474144,12.61616522,.0001603,82.5427,209.0501,88.7174,271.4101,0,U,27057,999,12751,-.33027E-4,.5E-7,0
USA 164 (MILSTAR-2 3),2002-001A,2026-06-24T00:02:58.559424,1.00269507,.00997868,11.1879,21.8685,8.5157,261.4678,0,U,27168,999,3302,0,.94E-6,0
INTELSAT 904 (IS-904),2002-007A,2026-06-25T04:46:48.523872,1.00273402,.0006533,6.9401,69.0905,9.6551,234.8017,0,U,27380,999,5184,0,-.222E-5,0
AQUA,2002-022A,2026-06-25T04:43:37.157376,14.62168936,.0000822,98.4280,145.6399,62.2476,355.5182,0,U,27424,999,28444,.14667E-3,.689E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-06-25T03:31:17.319072,1.00272949,.0003506,4.8983,75.2153,22.9203,117.8738,0,U,27426,999,8820,0,-.52E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-06-23T18:53:05.214624,1.00273149,.00041178,6.7705,69.7228,25.1578,323.1299,0,U,27438,999,5142,0,.95E-6,0
GALAXY 3C (G-3C),2002-030A,2026-06-25T00:57:17.721216,1.00272136,.0001934,3.7528,77.8806,27.0363,87.7469,0,U,27445,999,4657,0,-.146E-5,0
COSMOS 2390,2002-036A,2026-06-25T03:51:17.237088,12.44623618,.0024622,82.4853,339.9680,240.1237,119.7397,0,U,27464,999,8866,.24813E-3,.45E-6,0
COSMOS 2391,2002-036B,2026-06-25T04:12:19.228320,12.44946653,.0025548,82.4849,336.4884,233.8830,125.9886,0,U,27465,999,8884,.1611E-3,.33E-6,0
INTELSAT 906 (IS-906),2002-041A,2026-06-25T04:20:58.047360,1.00271821,.0004258,5.8222,72.8229,5.8574,324.0266,0,U,27513,999,8710,0,.17E-6,0
LATINSAT B,2002-058B,2026-06-24T21:01:13.600704,14.77032603,.0087415,64.5532,227.1244,268.4752,90.6336,0,U,27606,999,26323,.76192E-4,.421E-5,0
SAUDISAT 1C (SO-50),2002-058C,2026-06-25T04:18:46.446336,14.83062534,.0075079,64.5519,104.2569,260.9817,98.2786,0,U,27607,999,26564,.12668E-3,.928E-5,0
LATINSAT A,2002-058H,2026-06-24T02:10:01.396416,14.85484677,.00528941,64.5552,300.1873,246.9311,112.6215,0,U,27612,999,26865,.9467062E-4,.683E-5,0
NIMIQ 2,2002-062A,2026-06-24T04:56:25.031328,1.00271857,.0005759,9.4626,56.8261,31.1790,149.2741,0,U,27632,999,4425,0,-.7E-6,0
CORIOLIS,2003-001A,2026-06-25T00:27:04.247424,14.19946790,.0013835,98.7125,182.7840,185.5642,174.5383,0,U,27640,999,21533,.6376E-4,.92E-6,0
SORCE,2003-004A,2026-06-23T20:20:05.981280,15.03739410,.00162233,39.9898,223.6787,100.3840,259.8783,0,U,27651,999,27290,.14354376E-3,.1856E-4,0
NAVSTAR 51 (USA 166),2003-005A,2026-06-25T01:56:13.305120,2.00560235,.0148002,54.8812,214.6551,53.0935,306.1631,0,U,27663,999,17146,0,.73E-6,0
USA 167,2003-008A,2026-06-24T05:13:23.822976,1.00273154,.00039151,10.9755,43.3477,318.4284,227.2538,0,U,27691,999,684,0,.1E-7,0
NAVSTAR 52 (USA 168),2003-010A,2026-06-22T23:36:29.107872,1.94743191,.00021054,54.8097,324.9107,356.0643,353.0417,0,U,27704,999,17002,0,-.106E-5,0
USA 169 (MILSTAR-2 4),2003-012A,2026-06-24T21:55:26.120928,1.00272771,.0100804,12.3612,29.7803,9.6012,354.6939,0,U,27711,999,3303,0,-.271E-5,0
ASIASAT 4,2003-014A,2026-06-25T03:02:01.538016,1.00271253,.0002846,4.7237,75.6480,22.1935,8.4850,0,U,27718,999,4538,0,-.217E-5,0
HELLAS-SAT 2,2003-020A,2026-06-23T00:39:46.495008,1.00272014,.00028232,7.3697,67.8171,36.5525,166.7436,0,U,27811,999,4290,0,-.85E-6,0
THURAYA-2,2003-026A,2026-06-25T04:15:13.597344,1.00272555,.0002801,8.8517,31.9405,14.3124,334.8844,0,U,27825,999,8442,0,.126E-5,0
OPTUS C1,2003-028B,2026-06-23T14:18:31.474368,1.00272403,.00057528,6.9062,69.3346,18.3675,194.4481,0,U,27831,999,5312,0,-.15E-5,0
MOST,2003-031D,2026-06-24T22:55:05.632320,14.21323914,.0008986,98.7044,183.5725,225.3245,134.7201,0,U,27843,999,19181,.49913E-4,.65E-6,0
CUTE-1 (CO-55),2003-031E,2026-06-24T23:24:16.614720,14.24339992,.0010007,98.6736,184.4362,156.0422,204.1225,0,U,27844,999,19278,.13189E-3,.261E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-24T23:13:17.051808,14.23624582,.0009537,98.6767,184.1351,174.0960,186.0333,0,U,27848,999,19248,.11865E-3,.227E-5,0
SCISAT 1,2003-036A,2026-06-25T04:39:31.707072,14.81455644,.0008297,73.9288,155.4341,225.7509,134.2987,0,U,27858,999,23263,.80508E-4,.594E-5,0
COSMOS 2400,2003-037A,2026-06-25T04:18:05.093568,12.45190747,.0022012,82.4720,324.8389,40.3173,319.9535,0,U,27868,999,3853,.26308E-3,.48E-6,0
COSMOS 2401,2003-037B,2026-06-25T05:16:45.852960,12.45503871,.0022692,82.4711,321.1889,35.5477,324.7111,0,U,27869,999,3877,.16949E-3,.34E-6,0
USA 170,2003-040A,2026-06-24T19:36:12.072096,1.00271103,.0002121,10.5162,47.8771,60.7420,122.5828,0,U,27875,999,3307,0,.125E-5,0
MOZHAETS 4 (RS22),2003-042A,2026-06-25T05:37:54.041664,14.73478873,.001,98.3476,0.8208,240.8202,230.4835,0,U,27939,999,21673,.13401E-3,.817E-5,0
LARETS,2003-042F,2026-06-25T04:20:45.235104,14.63870166,.0012572,98.4161,338.5537,17.1819,342.9806,0,U,27944,999,21453,.18537E-4,.46E-6,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-06-24T04:21:03.112992,1.00274159,.00021074,1.4366,83.7739,4.2110,99.6267,0,U,27954,999,4664,0,.139E-5,0
DMSP 5D-3 F16 (USA 172),2003-048A,2026-06-25T05:31:04.057248,14.14483490,.000805,98.9888,200.1114,120.0404,307.9135,0,U,28054,999,17062,.16885E-4,-.13E-6,0
CHUANGXIN 1 (CX-1),2003-049B,2026-06-23T11:03:10.006272,14.48586969,.00128134,98.5076,73.5764,158.5862,201.5869,0,U,28058,999,19718,.53232357E-4,.155E-5,0
YAMAL 202,2003-053A,2026-06-23T14:23:04.184736,1.00270908,.00031506,6.3593,70.8602,10.7552,209.4544,0,U,28089,999,8276,0,-.79E-6,0
UFO 11 (USA 174),2003-057A,2026-06-24T02:44:22.807968,1.00271676,.00023732,8.9481,33.7923,69.7027,285.4810,0,U,28117,999,8251,0,-.105E-5,0
NAVSTAR 53 (USA 175),2003-058A,2026-06-22T18:10:23.163456,1.92678563,.00016623,55.0304,23.0606,342.5976,17.4396,0,U,28129,999,16457,0,-.105E-5,0
USA 176 (DSP 22),2004-004A,2026-06-24T23:45:38.458944,1.00274451,.0001259,12.0729,26.0147,322.1797,232.0631,0,U,28158,999,3301,0,-.297E-5,0
ABS-4 (MOBISAT-1),2004-007A,2026-06-23T23:23:06.944352,1.00275243,.00050129,6.0580,71.9251,19.6566,232.3703,0,U,28184,999,5240,0,.4E-6,0
NAVSTAR 54 (USA 177),2004-009A,2026-06-24T07:28:48.719136,2.00554582,.0116405,54.8236,275.3992,173.4104,143.5535,0,U,28190,999,16308,0,-.71E-6,0
SHIYAN-1 (SY-1),2004-012A,2026-06-25T03:25:16.810752,15.33943957,.0004879,97.8693,254.7284,5.2149,354.9143,0,U,28220,999,21231,.49277E-3,.16116E-3,0
INTELSAT 10-02,2004-022A,2026-06-24T00:39:46.290240,1.00269986,.00003177,0.0222,290.2426,232.3282,118.5529,0,U,28358,999,8062,0,-.4E-7,0
NAVSTAR 55 (USA 178),2004-023A,2026-06-22T08:41:55.280832,2.00557217,.01598015,54.8674,86.5023,302.1509,227.8038,0,U,28361,999,16114,0,-.51E-6,0
APRIZESAT 2,2004-025A,2026-06-23T23:08:45.921696,14.38038220,.01045941,98.1020,340.5613,229.1600,130.0485,0,U,28366,999,15261,.6420922E-4,.164E-5,0
SAUDICOMSAT 1,2004-025D,2026-06-24T23:46:43.195008,14.55479251,.0032138,98.5770,186.3327,1.9874,358.1444,0,U,28369,999,16526,.8877E-4,.339E-5,0
SAUDICOMSAT 2,2004-025E,2026-06-24T23:48:16.339392,14.49984951,.0054416,98.6639,188.4589,235.3799,124.2256,0,U,28370,999,16123,.65595E-4,.209E-5,0
SAUDISAT 2,2004-025F,2026-06-24T23:55:32.312928,14.56687890,.0023442,98.5508,176.1807,273.0068,86.8447,0,U,28371,999,16688,.63178E-4,.233E-5,0
APRIZESAT 1,2004-025G,2026-06-25T00:20:00.827808,14.51780935,.0045476,98.6302,186.9525,130.4711,230.0461,0,U,28372,999,16304,.72676E-4,.247E-5,0
AURA,2004-026A,2026-06-25T03:13:12.073728,14.61339963,.0001167,98.3420,132.6533,80.8867,279.2465,0,U,28376,999,16737,.15507E-3,.718E-5,0
ANIK F2,2004-027A,2026-06-25T03:31:02.344224,1.00271993,.000423,3.3082,79.3436,12.8204,122.7539,0,U,28378,999,4134,0,-.43E-6,0
COSMOS 2407,2004-028A,2026-06-25T03:29:21.046272,13.76335273,.0038066,82.9605,68.9401,228.8769,241.4952,0,U,28380,999,10097,.25623E-4,.4E-6,0
SHIJIAN-6 01A (SJ-6 01A),2004-035A,2026-06-25T01:48:55.315008,15.18102368,.0007969,97.5863,203.2000,107.1691,253.0415,0,U,28413,999,18866,.46347E-3,.9394E-4,0
SHIJIAN-6 01B (SJ-6 01B),2004-035B,2026-06-25T05:20:33.318240,15.06368511,.0006558,97.6047,193.9858,106.9617,253.2329,0,U,28414,999,18803,.19591E-3,.2823E-4,0
COSMOS 2408,2004-037A,2026-06-25T04:49:07.384224,12.45680468,.0015089,82.4858,320.8436,249.3390,110.6073,0,U,28419,999,98890,.26468E-3,.48E-6,0
COSMOS 2409,2004-037B,2026-06-25T03:55:06.705984,12.45324044,.0012643,82.4860,324.0971,261.2785,98.6864,0,U,28420,999,98854,.5198E-3,.84E-6,0
AMC-15,2004-041A,2026-06-25T03:32:39.689376,1.00272117,.000249,0.0197,27.3766,57.6306,136.3920,0,U,28446,999,7938,0,-.79E-6,0
JB-3 3 (ZY 2C),2004-044A,2026-06-25T03:55:56.613216,15.19377974,.0033039,97.2768,329.4667,190.1467,169.9106,0,U,28470,999,18899,.21874E-3,.4626E-4,0
